Knob Name	Strength	Uncertainty
MQ.13R3.B1_k1	8.742611654729759e-03	3.306533177633222e-05
MQ.14R3.B1_k1	-8.547649875859049e-03	2.947308143021352e-05
MQ.15R3.B1_k1	8.743402419158204e-03	3.155077204396396e-05
MQ.16R3.B1_k1	-8.557128045705582e-03	2.892406514782092e-05
MQ.17R3.B1_k1	8.736418291041048e-03	4.723912108927303e-05
MQ.18R3.B1_k1	-8.552217713038660e-03	4.516313734036372e-05
MQ.19R3.B1_k1	8.745055335192825e-03	4.459018958214951e-05
MQ.20R3.B1_k1	-8.559086553379903e-03	4.169355139384337e-05
MQ.21R3.B1_k1	8.730121864746389e-03	4.726521874896364e-05
MQ.22R3.B1_k1	-8.560382270759961e-03	4.660956335901532e-05
MQ.23R3.B1_k1	8.747891061805043e-03	4.378142111373969e-05
MQ.24R3.B1_k1	-8.554066032535583e-03	4.116898628003825e-05
MQ.25R3.B1_k1	8.737616103017321e-03	4.735681455922018e-05
MQ.26R3.B1_k1	-8.546409105032616e-03	4.747855697057716e-05
MQ.27R3.B1_k1	8.745327971026329e-03	4.424704227365885e-05
MQ.28R3.B1_k1	-8.561786420151133e-03	4.075728090334895e-05
MQ.29R3.B1_k1	8.748524553239660e-03	4.723039179038574e-05
MQ.30R3.B1_k1	-8.556087332667137e-03	4.802409912443802e-05
MQ.31R3.B1_k1	8.733513617732129e-03	4.434185587775554e-05
MQ.32R3.B1_k1	-8.549225524274914e-03	4.052997036769567e-05
MQ.33R3.B1_k1	8.748458804041995e-03	4.721226973310179e-05
MQ.34R3.B1_k1	-8.561196487869117e-03	4.833248635026323e-05
MQ.33L4.B1_k1	8.735472968199185e-03	4.433349273559568e-05
MQ.32L4.B1_k1	-8.561813373566977e-03	4.041074127939241e-05
MQ.31L4.B1_k1	8.743092177989766e-03	4.718951883668564e-05
MQ.30L4.B1_k1	-8.552044562037283e-03	4.856359985205092e-05
MQ.29L4.B1_k1	8.747641536352118e-03	4.440359168031068e-05
MQ.28L4.B1_k1	-8.549405757200401e-03	4.026971406601236e-05
MQ.27L4.B1_k1	8.735266267706994e-03	4.713217863787636e-05
MQ.26L4.B1_k1	-8.551314261294525e-03	4.866114874950886e-05
MQ.25L4.B1_k1	8.735716168224973e-03	4.447277180016382e-05
MQ.24L4.B1_k1	-8.549490213090129e-03	4.032081875527923e-05
MQ.23L4.B1_k1	8.732738622156084e-03	4.694073483392944e-05
MQ.22L4.B1_k1	-8.549254273130477e-03	4.850149300303184e-05
MQ.21L4.B1_k1	8.747442786565821e-03	4.459319997560861e-05
MQ.20L4.B1_k1	-8.553617529567018e-03	4.069876175091718e-05
MQ.19L4.B1_k1	8.746908288703212e-03	4.762076017350729e-05
MQ.18L4.B1_k1	-8.546360159205296e-03	4.763123337295606e-05
MQ.17L4.B1_k1	8.743176627811029e-03	4.471421988762257e-05
MQ.16L4.B1_k1	-8.557436542300996e-03	4.101383154572972e-05
MQ.15L4.B1_k1	8.746915264391220e-03	5.015851028784903e-05
MQ.14L4.B1_k1	-8.555875842810675e-03	1.269564475569304e-04
