name Horizontal_STD Vertical_STD
BPMSW.1L1.B2 1.55e-01 1.63e-01
BPMSY.4L1.B2 1.60e-01 1.70e-01
BPMYA.4L1.B2 1.22e-01 1.30e-01
BPMR.6L1.B2 1.22e-01 1.23e-01
BPM.8L1.B2 8.69e-02 8.19e-02
BPM.10L1.B2 8.69e-02 8.57e-02
BPM.12L1.B2 8.42e-02 9.21e-02
BPM.14L1.B2 8.76e-02 8.85e-02
BPM.16L1.B2 8.32e-02 8.12e-02
BPM.18L1.B2 8.53e-02 9.45e-02
BPM.20L1.B2 9.30e-02 8.92e-02
BPM.22L1.B2 8.18e-02 8.41e-02
BPM.24L1.B2 8.56e-02 8.29e-02
BPM.26L1.B2 8.57e-02 8.22e-02
BPM.28L1.B2 8.58e-02 8.52e-02
BPM.30L1.B2 8.56e-02 8.80e-02
BPM.32L1.B2 8.00e-02 8.10e-02
BPMS.2L1.B2 1.78e-01 1.91e-01
BPMWB.4L1.B2 1.43e-01 1.51e-01
BPM.5L1.B2 1.31e-01 1.35e-01
BPM.7L1.B2 1.56e-01 1.62e-01
BPM.9L1.B2 9.63e-02 8.96e-02
BPM.11L1.B2 8.72e-02 9.58e-02
BPM.13L1.B2 8.53e-02 9.27e-02
BPM.15L1.B2 8.28e-02 9.36e-02
BPM.17L1.B2 8.43e-02 8.21e-02
BPM.19L1.B2 8.68e-02 8.86e-02
BPM.21L1.B2 8.50e-02 8.52e-02
BPM.23L1.B2 8.27e-02 8.95e-02
BPM.25L1.B2 1.06e-01 8.65e-02
BPM.27L1.B2 8.46e-02 8.66e-02
BPM.29L1.B2 8.44e-02 8.72e-02
BPM.31L1.B2 8.82e-02 8.81e-02
BPM.33L1.B2 8.67e-02 8.59e-02
BPMSX.7L1.B2 9.87e-02 1.01e-01
BPMSW.1R1.B2 1.21e-01 1.18e-01
BPMSY.4R1.B2 1.76e-01 1.58e-01
BPMYA.4R1.B2 1.28e-01 1.30e-01
BPM.6R1.B2 1.21e-01 1.12e-01
BPM.8R1.B2 7.89e-02 8.14e-02
BPM.10R1.B2 8.33e-02 8.08e-02
BPM.12R1.B2 8.68e-02 8.46e-02
BPM.14R1.B2 8.34e-02 8.23e-02
BPM.16R1.B2 7.83e-02 7.73e-02
BPM.18R1.B2 8.96e-02 8.56e-02
BPM.20R1.B2 8.49e-02 8.27e-02
BPM.22R1.B2 1.01e-01 7.95e-02
BPM.24R1.B2 8.90e-02 8.59e-02
BPM.26R1.B2 8.87e-02 8.13e-02
BPM.28R1.B2 8.14e-02 9.13e-02
BPM.30R1.B2 8.98e-02 8.28e-02
BPM.32R1.B2 8.76e-02 8.85e-02
BPM.34R1.B2 8.14e-02 7.52e-02
BPMS.2R1.B2 1.59e-01 1.64e-01
BPMWB.4R1.B2 1.40e-01 1.39e-01
BPMR.5R1.B2 1.36e-01 1.30e-01
BPMRA.7R1.B2 1.51e-01 1.67e-01
BPM.9R1.B2 8.33e-02 1.23e-01
BPM.11R1.B2 9.23e-02 8.44e-02
BPM.13R1.B2 9.41e-02 8.66e-02
BPM.15R1.B2 8.85e-02 8.57e-02
BPM.17R1.B2 7.85e-02 8.50e-02
BPM.19R1.B2 8.62e-02 8.31e-02
BPM.21R1.B2 8.38e-02 8.92e-02
BPM.23R1.B2 8.51e-02 8.52e-02
BPM.25R1.B2 8.62e-02 8.19e-02
BPM.27R1.B2 8.81e-02 8.25e-02
BPM.29R1.B2 8.51e-02 9.04e-02
BPM.31R1.B2 8.47e-02 8.51e-02
BPM.33R1.B2 7.88e-02 7.95e-02
BPMSW.1L2.B2 1.55e-01 1.53e-01
BPMSX.4L2.B2 2.19e-01 2.42e-01
BPMYB.4L2.B2 1.27e-01 1.25e-01
BPM.6L2.B2 1.21e-01 1.26e-01
BPM.8L2.B2 8.72e-02 8.96e-02
BPM.10L2.B2 8.49e-02 8.41e-02
BPM.12L2.B2 8.50e-02 8.32e-02
BPM.14L2.B2 8.68e-02 8.41e-02
BPM.16L2.B2 8.12e-02 7.98e-02
BPM.18L2.B2 8.61e-02 8.38e-02
BPM.20L2.B2 8.16e-02 7.83e-02
BPM.22L2.B2 8.74e-02 8.32e-02
BPM.24L2.B2 8.73e-02 8.60e-02
BPM.26L2.B2 8.42e-02 8.57e-02
BPM.28L2.B2 8.84e-02 8.57e-02
BPM.30L2.B2 8.19e-02 8.53e-02
BPM.32L2.B2 9.00e-02 1.16e-01
BPMS.2L2.B2 1.28e-01 1.28e-01
BPMWB.4L2.B2 1.30e-01 1.28e-01
BPMYB.5L2.B2 1.11e-01 1.10e-01
BPM.7L2.B2 1.26e-01 1.17e-01
BPM.9L2.B2 8.81e-02 8.95e-02
BPM.11L2.B2 8.97e-02 9.02e-02
BPM.13L2.B2 8.48e-02 8.20e-02
BPM.15L2.B2 8.11e-02 8.68e-02
BPM.17L2.B2 8.11e-02 8.01e-02
BPM.19L2.B2 8.66e-02 8.53e-02
BPM.21L2.B2 8.57e-02 7.98e-02
BPM.23L2.B2 8.63e-02 8.15e-02
BPM.25L2.B2 7.98e-02 8.81e-02
BPM.27L2.B2 8.81e-02 8.62e-02
BPM.29L2.B2 9.34e-02 8.96e-02
BPM.31L2.B2 8.39e-02 8.25e-02
BPM.33L2.B2 8.57e-02 8.00e-02
BPMSW.1R2.B2 1.65e-01 1.67e-01
BPMSX.4R2.B2 2.38e-01 1.87e-01
BPMYB.4R2.B2 9.94e-02 9.22e-02
BPMR.6R2.B2 1.68e-01 1.67e-01
BPM.8R2.B2 8.65e-02 8.11e-02
BPM.10R2.B2 8.56e-02 8.88e-02
BPM.12R2.B2 8.44e-02 8.27e-02
BPM.14R2.B2 8.35e-02 7.95e-02
BPM.16R2.B2 8.27e-02 7.78e-02
BPM.18R2.B2 8.30e-02 8.67e-02
BPM.20R2.B2 8.75e-02 8.36e-02
BPM.22R2.B2 8.92e-02 8.71e-02
BPM.24R2.B2 8.81e-02 8.55e-02
BPM.26R2.B2 9.19e-02 9.34e-02
BPM.28R2.B2 8.65e-02 8.33e-02
BPM.30R2.B2 8.57e-02 8.44e-02
BPM.32R2.B2 8.68e-02 7.95e-02
BPM.34R2.B2 7.91e-02 8.07e-02
BPMS.2R2.B2 1.29e-01 1.41e-01
BPMWB.4R2.B2 1.25e-01 1.29e-01
BPM.5R2.B2 1.23e-01 1.21e-01
BPM_A.7R2.B2 1.21e-01 1.28e-01
BPM.9R2.B2 8.84e-02 9.28e-02
BPM.11R2.B2 8.06e-02 8.48e-02
BPM.13R2.B2 8.45e-02 8.47e-02
BPM.15R2.B2 8.09e-02 8.47e-02
BPM.17R2.B2 7.99e-02 7.99e-02
BPM.19R2.B2 8.55e-02 8.51e-02
BPM.21R2.B2 8.36e-02 9.78e-02
BPM.23R2.B2 8.54e-02 8.29e-02
BPM.25R2.B2 8.60e-02 8.59e-02
BPM.27R2.B2 8.82e-02 8.26e-02
BPM.29R2.B2 8.71e-02 8.53e-02
BPM.31R2.B2 8.51e-02 8.42e-02
BPM.33R2.B2 7.58e-02 8.24e-02
BPMW.4L3.B2 2.07e-01 1.42e-01
BPMW.5L3.B2 1.51e-01 1.52e-01
BPMR.6L3.B2 1.61e-01 1.44e-01
BPM.8L3.B2 9.15e-02 8.69e-02
BPM.10L3.B2 8.67e-02 7.76e-02
BPM.12L3.B2 8.61e-02 8.84e-02
BPM.14L3.B2 8.56e-02 8.54e-02
BPM.16L3.B2 8.29e-02 8.37e-02
BPM.18L3.B2 7.98e-02 8.07e-02
BPM.20L3.B2 8.63e-02 8.50e-02
BPM.22L3.B2 8.15e-02 8.19e-02
BPM.24L3.B2 8.59e-02 8.61e-02
BPM.26L3.B2 8.49e-02 8.92e-02
BPM.28L3.B2 8.33e-02 8.94e-02
BPM.30L3.B2 8.78e-02 8.33e-02
BPM.32L3.B2 8.02e-02 7.66e-02
BPMWE.4L3.B2 1.63e-01 1.74e-01
BPMWJ.A5L3.B2 2.02e-01 2.03e-01
BPM.7L3.B2 1.35e-01 1.13e-01
BPM.9L3.B2 8.39e-02 8.70e-02
BPM.11L3.B2 8.77e-02 8.40e-02
BPM.13L3.B2 8.24e-02 8.37e-02
BPM.15L3.B2 8.63e-02 8.29e-02
BPM.17L3.B2 8.19e-02 8.03e-02
BPM.19L3.B2 8.00e-02 7.76e-02
BPM.21L3.B2 8.25e-02 8.14e-02
BPM.23L3.B2 9.10e-02 8.73e-02
BPM.25L3.B2 8.53e-02 8.68e-02
BPM.27L3.B2 8.75e-02 8.11e-02
BPM.29L3.B2 8.61e-02 8.29e-02
BPM.31L3.B2 8.35e-02 8.45e-02
BPM.33L3.B2 8.54e-02 8.19e-02
BPMW.4R3.B2 1.46e-01 1.37e-01
BPMW.5R3.B2 1.12e-01 1.16e-01
