name Horizontal_STD Vertical_STD
BR3.BPM1L3 0.075591 0.056334
BR3.BPM2L3 0.085985 0.074121
BR3.BPM3L3 0.060743 0.047523
BR3.BPM4L3 0.076595 0.068025
BR3.BPM5L3 0.061175 0.048351
BR3.BPM6L3 0.072590 0.074874
BR3.BPM7L3 0.072498 0.055612
BR3.BPM8L3 0.048476 0.047374
BR3.BPM9L3 0.057402 0.042958
BR3.BPM10L3 0.050401 0.040064
BR3.BPM11L3 0.050671 0.045712
BR3.BPM12L3 0.063961 0.064262
BR3.BPM13L3 0.051937 0.044393
BR3.BPM14L3 0.075246 0.059303
BR3.BPM15L3 0.050243 0.044204
BR3.BPM16L3 0.049657 0.042391
